vehicle_record_id,observation_id,batch_no,model_code,brand,common_name,energy_type,source,stage,record_quality,source_vehicle_type,vehicle_category,vehicle_subcategory,analysis_scope,catalog_no,source_section,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,curb_weight_num,battery_capacity_kwh,battery_capacity_num,battery_mass_kg,battery_mass_num,ev_range_km,ev_range_num,battery_type,battery_chemistry,battery_chemistry_cn,motor_power_kw,motor_count,motor_total_peak_kw,single_multi_motor,cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,range_extender,seat_count,approx_energy_consumption_kwh_100km,battery_energy_density_wh_kg,km_per_kwh,battery_mass_ratio_pct,variant_count,vehicle_tax_match_flag,purchase_tax_match_flag,metric_scope,source_detail,source_tax
401:CC6430,401:CC6430:confirmed,401,CC6430,欧拉,欧拉好猫,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,15,一、汽车生产企业,,,,,1570/1600,1570.0,45.9,45.9,378,378.0,430,430.0,,,,,,,,,,,,,,,10.7,121.4,9.37,24.1,1,0,1,全数据,,纯电动汽车
401:CC6470,401:CC6470:confirmed,401,CC6470,哈弗,哈弗大狗PLUS,插电式混合动力,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,15,一、汽车生产企业,,,,,2130,2130.0,35.43,35.43,228,228.0,151,151.0,,,,,,,,,,,,,,,23.5,155.4,4.26,10.7,1,1,1,全数据,,插电式混合动力乘用车
401:CC6480,401:CC6480:confirmed,401,CC6480,哈弗,哈弗枭龙MAX,插电式混合动力,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,15,一、汽车生产企业,,,,,2050,2050.0,35.43,35.43,228,228.0,160,160.0,,,,,,,,,,,,,,,22.1,155.4,4.52,11.1,1,1,1,全数据,,插电式混合动力乘用车
401:CFC5030X,401:CFC5030X:confirmed,401,CFC5030X,长沣,,插电式混合动力,eidc,confirmed,high,插电式混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)256,一、汽车生产企业,,,,,3150/2980,3150.0,32.855,32.855,207±6,207.0,109,109.0,,,,,,,,,,,,,,,30.1,158.7,3.32,6.6,1,0,1,全数据,,插电式混合动力汽车
401:CSZ5032X,401:CSZ5032X:confirmed,401,CSZ5032X,华东,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十)36,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:DD1033,401:DD1033:confirmed,401,DD1033,黄海,,,eidc,confirmed,high,多用途货车,passenger_vehicle,suv_mpv,in_scope,29,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:DFL7162,401:DFL7162:confirmed,401,DFL7162,东风日产,,,eidc,confirmed,high,轿车,passenger_vehicle,sedan,in_scope,3,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:DFM6473,401:DFM6473:confirmed,401,DFM6473,东风,风神L7,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,,,,,1770,1770.0,30.32,30.32,243,243.0,167,167.0,,,,,,,,,,,,,,,18.2,124.8,5.51,13.7,1,1,1,全数据,,插电式混合动力乘用车
401:DFM6480,401:DFM6480:confirmed,401,DFM6480,东风,风神L8,插电式混合动力,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,,,,,1925,1925.0,27.01,27.01,225,225.0,125,125.0,,,,,,,,,,,,,,,21.6,120.0,4.63,11.7,1,1,1,全数据,,插电式混合动力乘用车
401:DFM7000,401:DFM7000:confirmed,401,DFM7000,东风,,纯电动,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,3,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
