标签类型,标签,2023_pct,2024_pct,2025_pct,2026_pct,大盘_pct,2023_tgi,2024_tgi,2025_tgi,2026_tgi,大盘_tgi,Δ2023→2024_pct,Δ2023→2024_tgi,Δ2024→2025_pct,Δ2024→2025_tgi,Δ2025→2026_pct,Δ2025→2026_tgi,Δ23→26_pct,Δ23→26_tgi,2023_大盘差_pct,2023_大盘差_tgi,2024_大盘差_pct,2024_大盘差_tgi,2025_大盘差_pct,2025_大盘差_tgi,2026_大盘差_pct,2026_大盘差_tgi
地域分布,河南,3.14,4.28,4.46,4.19,6.8,58.63863576000329,79.98322823524732,83.21159424532188,78.19274407022225,127.33137293587248,1.1400000000000001,21.344592475244035,0.17999999999999972,3.228366010074552,-0.2699999999999996,-5.0188501750996295,1.0500000000000003,19.554108310218957,-3.6599999999999997,-68.69273717586918,-2.5199999999999996,-47.348144700625156,-2.34,-44.1197786905506,-2.6099999999999994,-49.13862886565023
地域分布,浙江,11.77,13.42,12.89,11.9,6.25,225.98518454679024,258.03281753844664,247.45756035122687,228.465987138975,120.37466812778877,1.6500000000000004,32.0476329916564,-0.5299999999999994,-10.575257187219762,-0.9900000000000002,-18.991573212251865,0.13000000000000078,2.480802592184773,5.52,105.61051641900147,7.17,137.65814941065787,6.640000000000001,127.08289222343811,5.65,108.09131901118624
地域分布,海南,0.91,0.79,0.62,0.61,0.82,141.77142811405892,122.53496524168162,95.63962769851057,94.43337758763892,127.61125062655536,-0.12,-19.236462872377302,-0.17000000000000004,-26.895337543171053,-0.010000000000000009,-1.2062501108716503,-0.30000000000000004,-47.338050526420005,0.09000000000000008,14.16017748750356,-0.029999999999999916,-5.076285384873742,-0.19999999999999996,-31.971622928044795,-0.20999999999999996,-33.177873038916445
地域分布,湖北,2.7,2.39,3.1,3.07,3.83,86.63814399703352,76.90024213721408,99.62618666513892,98.81754757416104,123.42219316206548,-0.31000000000000005,-9.737901859819445,0.71,22.725944527924838,-0.03000000000000025,-0.8086390909778771,0.36999999999999966,12.179403577127516,-1.13,-36.78404916503196,-1.44,-46.521951024851404,-0.73,-23.796006496926566,-0.7600000000000002,-24.604645587904443
地域分布,湖南,2.71,3.2,3.42,3.47,3.83,83.24017351947931,98.50838497308092,105.15657567889332,106.81045143950868,118.0811508178856,0.4900000000000002,15.268211453601609,0.21999999999999975,6.648190705812397,0.050000000000000266,1.6538757606153638,0.7600000000000002,23.57027792002937,-1.12,-34.84097729840629,-0.6299999999999999,-19.572765844804678,-0.41000000000000014,-12.924575138992282,-0.3599999999999999,-11.270699378376918
地域分布,澳门,0.0,0.007,0.0,0.0,0.003,,324.8846932707013,,,138.43042868848588,0.007,,-0.007,,0.0,,0.0,,-0.003,,0.004,186.45426458221542,-0.003,,-0.003,
地域分布,甘肃,0.51,0.49,0.58,0.89,1.38,42.88813205963904,41.92304009433804,49.422258773392954,75.11751581169132,117.72109347395698,-0.020000000000000018,-0.9650919653009993,0.08999999999999997,7.499218679054913,0.31000000000000005,25.695257038298365,0.38,32.22938375205228,-0.8699999999999999,-74.83296141431794,-0.8899999999999999,-75.79805337961895,-0.7999999999999999,-68.29883470056403,-0.4899999999999999,-42.603577662265664
地域分布,福建,2.65,2.8,2.69,2.61,3.2,98.85194016813924,104.88478112184391,100.44116954363092,97.38308020639612,119.69511825140836,0.1499999999999999,6.032840953704678,-0.10999999999999988,-4.443611578212995,-0.08000000000000007,-3.0580893372348044,-0.040000000000000036,-1.4688599617431208,-0.5500000000000003,-20.843178083269123,-0.40000000000000036,-14.810337129564445,-0.5100000000000002,-19.25394870777744,-0.5900000000000003,-22.312038045012244
地域分布,西藏,0.14,0.092,0.11,0.13,0.4,55.49726904276192,35.26148564318263,43.628566577466685,51.21401561785629,155.72841591643737,-0.048000000000000015,-20.23578339957929,0.018000000000000002,8.367080934284054,0.020000000000000004,7.585449040389605,-0.010000000000000009,-4.283253424905631,-0.26,-100.23114687367544,-0.30800000000000005,-120.46693027325475,-0.29000000000000004,-112.09984933897069,-0.27,-104.51440029858108
地域分布,贵州,1.91,2.02,2.33,2.29,2.68,91.3053191783238,96.3234158221676,111.17155880969646,109.46780872681852,128.29600028850234,0.1100000000000001,5.018096643843805,0.31000000000000005,14.84814298752886,-0.040000000000000036,-1.7037500828779457,0.3800000000000001,18.16248954849472,-0.7700000000000002,-36.99068111017854,-0.6600000000000001,-31.972584466334737,-0.3500000000000001,-17.124441478805878,-0.3900000000000001,-18.828191561683823
地域分布,辽宁,1.36,1.13,1.21,1.82,2.4,60.067617885384216,50.19433782267366,53.417159727328325,80.30928522435684,106.41528212958455,-0.2300000000000002,-9.873280062710556,0.08000000000000007,3.2228219046546656,0.6100000000000001,26.892125497028516,0.45999999999999996,20.241667338972626,-1.0399999999999998,-46.34766424420034,-1.27,-56.220944306910894,-1.19,-52.99812240225623,-0.5799999999999998,-26.105996905227713
地域分布,重庆,2.79,2.84,2.35,2.25,2.01,162.27398220846686,165.3228343987394,136.5590867244618,130.5699805465326,116.9158130224633,0.04999999999999982,3.0488521902725267,-0.48999999999999977,-28.763747674277596,-0.10000000000000009,-5.989106177929187,-0.54,-31.704001661934257,0.7800000000000002,45.358169186003565,0.8300000000000001,48.40702137627609,0.3400000000000003,19.643273701998496,0.2400000000000002,13.654167524069308
地域分布,陕西,1.96,2.05,2.68,3.24,3.01,83.87115757581495,87.81827641009255,114.38710303136888,138.38033485888977,129.03722256915017,0.08999999999999986,3.947118834277603,0.6300000000000003,26.56882662127633,0.56,23.993231827520887,1.2800000000000002,54.50917728307482,-1.0499999999999998,-45.166064993335226,-0.96,-41.21894615905762,-0.3299999999999996,-14.650119537781293,0.23000000000000043,9.343112289739594
地域分布,青海,0.17,0.18,0.2,0.23,0.37,54.56862638017616,59.43677287791258,65.54681364933171,73.99402554748028,119.8846714274992,0.009999999999999981,4.868146497736419,0.020000000000000018,6.110040771419129,0.03,8.447211898148566,0.06,19.425399167304114,-0.19999999999999998,-65.31604504732303,-0.19,-60.44789854958662,-0.16999999999999998,-54.33785777816749,-0.13999999999999999,-45.89064588001892
