body_type,fuel_type_group,price_bucket,freeze,top3_price,top3_price_position,position_delta
跑车,新能源,60万以上,2024-03,1359539.3199999996,135947.93199999997,
轿车,其他能源,10-15万,2024-03,119221.25580595073,23842.251161190146,-191.3217342590251
轿车,其他能源,15-20万,2024-03,179364.0711234723,35869.81422469446,-1445.22294978625
轿车,其他能源,20-25万,2024-03,231246.08383286587,46245.216766573176,1599.4718667411944
轿车,其他能源,25-30万,2024-03,281986.85601105203,56392.37120221041,2502.6134398819995
轿车,其他能源,30-35万,2024-03,309699.1664525775,61933.833290515504,-381.90569294675515
轿车,其他能源,35-40万,2024-03,372148.17090863676,74422.63418172735,-3061.359696716114
轿车,其他能源,40-45万,2024-03,428565.19049341383,85705.03809868277,664.9925940929097
轿车,其他能源,45-50万,2024-03,478446.9666001864,95680.39332003728,3357.824270842684
轿车,其他能源,5-10万,2024-03,74976.18098246258,14994.236196492517,-1937.746773372679
轿车,其他能源,50-55万,2024-03,520142.3284522194,104018.46569044387,945.6579854559386
轿车,其他能源,55-60万,2024-03,577805.5353626772,115550.10707253544,435.266617132118
轿车,其他能源,5万以下,2024-03,45989.389443848864,9197.877888769774,29.50932534398089
轿车,其他能源,60万以上,2024-03,1114263.3711825146,111420.33711825145,-3398.7767163858807
轿车,新能源,10-15万,2024-03,121679.31899879796,24333.86379975959,-1533.1399571928378
轿车,新能源,15-20万,2024-03,172032.74523348772,34403.549046697546,339.2764960755958
轿车,新能源,20-25万,2024-03,223970.09026509742,44790.018053019485,-2134.9566914117677
轿车,新能源,25-30万,2024-03,274135.32174133806,54822.06434826761,677.0305660799713
轿车,新能源,30-35万,2024-03,315743.0293318125,63142.6058663625,-2119.610212081461
轿车,新能源,35-40万,2024-03,377115.45532465447,75416.0910649309,-1411.3681403946102
轿车,新能源,40-45万,2024-03,432214.20281037176,86434.84056207436,-2172.7222397042788
轿车,新能源,45-50万,2024-03,468058.80181975453,93602.7603639509,-68.99088484444655
轿车,新能源,5-10万,2024-03,79183.27502591109,15835.655005182218,2564.8019079437327
轿车,新能源,50-55万,2024-03,549117.6499999998,109813.52999999996,8719.324852831094
轿车,新能源,55-60万,2024-03,596420.5614134275,119273.1122826855,8387.093032937497
轿车,新能源,5万以下,2024-03,44271.99791120421,8854.399582240843,-847.2668571858594
