price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
30-35万,轿车,新能源,52734.0,极氪极氪001（44.2%）、阿维塔阿维塔12（20.3%）、蔚来蔚来ET5（14.5%）,极氪极氪001,41639.0,78.96044297796489,奔驰C级（8.3%）、岚图岚图追光（4.2%）、PolestarPolestar 2（1.8%）,14.341790874957333,3,100.0
35-40万,MPV,其他能源,25265.0,丰田赛那（52.3%）、丰田格瑞维亚（46.3%）、红旗HQ9（1.4%）,丰田赛那,25265.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
35-40万,MPV,新能源,73462.0,岚图梦想家（32.5%）、腾势腾势D9（26.9%）、广汽传祺E9（24.1%）,岚图梦想家,61353.0,83.51664806294411,岚图梦想家（32.5%）、广汽传祺E9（24.1%）,56.58571778606627,2,100.0
35-40万,SUV,其他能源,124741.0,宝马X3（64.0%）、福特探险者（12.7%）、奥迪Q5（6.8%）,宝马X3,104221.0,83.5499154247601,奥迪Q5（6.8%）、雷克萨斯NX（6.8%）、捷豹F-pace（1.2%）,14.859589068550036,3,100.0
35-40万,SUV,新能源,80355.0,理想理想L8（58.0%）、蔚来蔚来EC6（11.2%）、雷克萨斯RZ（7.0%）,理想理想L8,61245.0,76.21803248086616,雷克萨斯RZ（7.0%）,7.042498911082074,1,100.0
35-40万,跑车,其他能源,104.0,丰田86（100.0%）,丰田86,104.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
35-40万,轿车,其他能源,306118.0,奥迪A6（60.9%）、宝马5系（18.2%）、雷克萨斯ES（10.9%）,奥迪A6,275622.0,90.03782854977493,奥迪A6（60.9%）、雷克萨斯ES（10.9%）、奥迪A7L（7.0%）,78.78563168451382,3,100.0
35-40万,轿车,新能源,7450.0,奔驰EQE（71.7%）、奔驰C级（8.2%）、宝马i4（5.1%）,奔驰EQE,6333.0,85.00671140939598,沃尔沃S60（4.0%）,4.0,1,100.0
40-45万,MPV,其他能源,6476.0,红旗HQ9（100.0%）,红旗HQ9,6476.0,100.0,红旗HQ9（100.0%）,100.0,1,100.0
40-45万,MPV,新能源,85910.0,腾势腾势D9（100.0%）,腾势腾势D9,85910.0,100.0,腾势腾势D9（100.0%）,100.0,1,100.0
