body_type,fuel_type_group,price_bucket,sales,growth_pct,share_pct,freeze,share_delta_pp
MPV,其他能源,45-50万,3691.0,-12.618371212121215,0.5691253725681878,2025-03,0.02702743816152453
MPV,其他能源,5-10万,143923.0,-17.57789905908359,22.191880519136088,2025-03,-0.21804254248520039
MPV,其他能源,50-55万,12978.0,-45.841505654550765,2.001113271522607,2025-03,-1.0742401380860276
MPV,其他能源,55-60万,1176.0,-14.720812182741117,0.1813306524357055,2025-03,0.004353130762696805
MPV,其他能源,5万以下,2432.0,-73.68534949145207,0.37499672340445217,2025-03,-0.8110991832684602
MPV,其他能源,60万以上,19172.0,-7.381642512077291,2.9561830514433214,2025-03,0.29959516266066766
MPV,新能源,10-15万,21661.0,207.72837050717433,6.572563393786393,2025-03,3.3383530851143544
MPV,新能源,15-20万,1539.0,-78.11433447098976,0.46697636595897046,2025-03,-2.7640176517398194
MPV,新能源,20-25万,38796.0,181.02861282144153,11.7718096775466,2025-03,5.428824408159257
MPV,新能源,25-30万,12632.0,259.27189988623434,3.832908027806182,2025-03,2.217411018956787
MPV,新能源,30-35万,38007.0,571.8578751988687,11.532404640027673,2025-03,8.933182063502922
MPV,新能源,35-40万,150148.0,104.38866352672132,45.559173096820984,2025-03,11.805577742983026
MPV,新能源,40-45万,26626.0,-69.00710045396346,8.079085588059485,2025-03,-31.393994056494414
MPV,新能源,45-50万,22851.0,,6.933643234911262,2025-03,
MPV,新能源,5-10万,3455.0,2852.991452991453,1.0483452530138029,2025-03,0.9945872467466302
MPV,新能源,50-55万,11085.0,-35.972968289724484,3.3635042343438513,2025-03,-4.591302282780601
MPV,新能源,55-60万,1255.0,-64.58803611738149,0.3808026895896737,2025-03,-1.24755948315272
MPV,新能源,60万以上,1512.0,512.1457489878543,0.4587837981351288,2025-03,0.3452946737933198
SUV,其他能源,10-15万,2119964.0,-16.69706096739145,34.64149124347908,2025-03,-1.956601830612037
SUV,其他能源,15-20万,1080826.0,-27.987660654678226,17.661349161931295,2025-03,-3.923010018924664
SUV,其他能源,20-25万,394293.0,-22.907888639709697,6.442985591672828,2025-03,-0.9122980024366969
SUV,其他能源,25-30万,446476.0,32.20065970638921,7.295687306210655,2025-03,2.438836178737116
SUV,其他能源,30-35万,216336.0,-43.15653394012329,3.5350608074709235,2025-03,-1.9381041718203784
SUV,其他能源,35-40万,149534.0,19.875582206331522,2.4434758097790343,2025-03,0.6495704945466367
SUV,其他能源,40-45万,52317.0,-54.546086412566574,0.8548913554122122,2025-03,-0.8003519717852108
SUV,其他能源,45-50万,32258.0,-43.79551869533401,0.5271151889995057,2025-03,-0.29827022287348093
SUV,其他能源,5-10万,1355209.0,29.248964737164364,22.14493298309973,2025-03,7.066038597457759
SUV,其他能源,50-55万,25563.0,-23.4159201893406,0.4177148482979219,2025-03,-0.06230988709094143
SUV,其他能源,55-60万,51014.0,199.9235698747722,0.8335995489993423,2025-03,0.5889924390131481
SUV,其他能源,5万以下,6064.0,,0.09908941986772281,2025-03,
SUV,其他能源,60万以上,189871.0,-32.64884077300718,3.102606734779749,2025-03,-0.9515810240789717
SUV,新能源,10-15万,1922807.0,142.9013390601314,36.0066709849047,2025-03,14.373231524920826
SUV,新能源,15-20万,1106648.0,26.691097090902005,20.723198132783384,2025-03,-3.148493380272928
SUV,新能源,20-25万,561493.0,36.37010555153471,10.514572555293952,2025-03,-0.7378221265310607
SUV,新能源,25-30万,926157.0,20.737521233034762,17.34330610371524,2025-03,-3.620114362786545
SUV,新能源,30-35万,414639.0,-4.039186099256642,7.764570261347031,2025-03,-4.043964507656699
SUV,新能源,35-40万,23190.0,-71.14056374836663,0.4342581965532371,2025-03,-1.7617436071443429
SUV,新能源,40-45万,83297.0,-14.74817566806882,1.5598277273952128,2025-03,-1.1103825673453689
SUV,新能源,45-50万,35523.0,-14.160404030640606,0.665207154642546,2025-03,-0.46573855679317
SUV,新能源,5-10万,98029.0,4.111174833790021,1.835700592924419,2025-03,-0.7375199637622432
SUV,新能源,50-55万,152129.0,493.44255900136534,2.848782457242234,2025-03,2.1482099199043274
SUV,新能源,55-60万,222.0,-93.80234505862647,0.004157193602191403,2025-03,-0.09373439324174777
SUV,新能源,5万以下,4437.0,-68.94162116757666,0.08308769375190656,2025-03,-0.30733084607291616
SUV,新能源,60万以上,11570.0,-55.54445554445555,0.2166609458439393,2025-03,-0.494597133218138
跑车,其他能源,25-30万,514.0,104.7808764940239,4.892442413858747,2025-03,3.153733630262183
跑车,其他能源,40-45万,886.0,1035.897435897436,8.433276223110603,2025-03,7.8929603461363715
跑车,其他能源,45-50万,496.0,-55.355535553555356,4.721111745669142,2025-03,-2.9749259378997133
跑车,其他能源,50-55万,3307.0,80.41462084015276,31.4772510946126,2025-03,18.77982798571817
跑车,其他能源,55-60万,89.0,-96.51799687010954,0.8471349704930516,2025-03,-16.858600690354827
