price_bucket,body_type,vehicle_level_group,fuel_type_group,sales,weighted_tp,active_months,share_pct,market_rank,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,concentration_label
20-25万,SUV,A,新能源,66947.0,224342.90410360298,12,0.29959768872960546,59,奥迪Q4（23.7%）、极氪极氪X（21.4%）、smart精灵#3（14.4%）,奥迪Q4,39814.0,59.470924761378406,奥迪Q4（23.7%）、smart精灵#3（14.4%）、本田CR-V（10.9%）,48.90585089697821,3,100.0,高集中
35-40万,SUV,C,新能源,62459.0,368749.09018435486,12,0.27951322748386676,60,理想理想L8（74.6%）、小鹏G9（7.0%）、高合HiPhi Y（6.4%）,理想理想L8,54996.0,88.05136169327079,无满足9个月暴露期车型,0.0,0,100.0,高集中
25-30万,轿车,C,新能源,62256.0,273010.579249936,12,0.27860477257457866,61,极氪极氪001（75.3%）、比亚迪汉（9.2%）、飞凡F7（5.2%）,极氪极氪001,55814.0,89.65240298123875,比亚迪汉（9.2%）,9.162169108198407,1,100.0,高集中
5-10万,轿车,B,其他能源,53399.0,94448.12039585291,12,0.23896839261613223,62,奔腾奔腾B70（86.4%）、东风风神奕炫（13.5%）、北京汽车北京U7（0.0%）,奔腾奔腾B70,53399.0,100.0,奔腾奔腾B70（86.4%）、东风风神奕炫（13.5%）,99.99063652877395,2,100.0,高集中
15-20万,MPV,B,其他能源,52959.0,180128.7029254693,12,0.23699932778811858,63,广汽传祺M8（53.4%）、现代库斯途（24.8%）、迈克萨斯G20（10.5%）,广汽传祺M8,47008.0,88.76300534375649,广汽传祺M8（53.4%）、现代库斯途（24.8%）、迈克萨斯G20（10.5%）,88.76300534375649,3,100.0,高集中
30-35万,轿车,C,其他能源,51615.0,320538.91079139273,12,0.23098472976800433,64,沃尔沃S90（71.9%）、凯迪拉克CT6（16.3%）、捷豹XFL（7.4%）,沃尔沃S90,49339.0,95.59042913881623,沃尔沃S90（71.9%）、凯迪拉克CT6（16.3%）,88.16429332558366,2,100.0,高集中
45-50万,SUV,B,其他能源,51303.0,474891.10331872804,12,0.22958848379904923,65,雷克萨斯RX（53.6%）、奔驰GLC级（26.8%）、保时捷Macan（11.1%）,雷克萨斯RX,46958.0,91.53070970508548,雷克萨斯RX（53.6%）、路虎揽胜星脉（4.9%）,58.53069021304796,2,100.0,高集中
5-10万,MPV,B,其他能源,50312.0,71204.11896358414,12,0.22515361278868223,66,东风风行菱智（31.0%）、瑞风瑞风M3（20.2%）、五菱五菱宏光（18.9%）,东风风行菱智,35271.0,70.10454762283352,东风风行菱智（31.0%）、瑞风瑞风M3（20.2%）、五菱五菱宏光（18.9%）,70.10454762283352,3,100.0,高集中
5-10万,SUV,B,其他能源,50166.0,80890.14180303273,12,0.22450024127756862,67,奇瑞瑞虎8（37.3%）、五菱五菱宏光S3（28.8%）、捷途捷途X70（22.7%）,奇瑞瑞虎8,44545.0,88.79519993621177,五菱五菱宏光S3（28.8%）、捷途捷途X70（22.7%）、东风风光风光580（4.6%）,56.1316429454212,3,100.0,高集中
35-40万,轿车,B,其他能源,39749.0,365171.22650936083,12,0.1778826314743467,68,雷克萨斯ES（84.0%）、奥迪A5（5.7%）、宝马4系（4.7%）,雷克萨斯ES,37517.0,94.3847643965886,雷克萨斯ES（84.0%）、奔驰C级（4.4%）,88.36197137034894,2,100.0,高集中
